,Unnamed: 0,id,text,Hashtags,date,retweets,likes,follower_count
0,0.0,1373423926668365827,Will Elon Musk's Innovation Engine Keep The Party Going At #Tesla? https://t.co/ICcW9EVkLR by @InsideEVs,"[{'text': 'Tesla', 'indices': [59, 65]}]",2021-03-20 23:59:15,0.0,0.0,
1,1.0,1373423926093746176,"@GinoG01328427 @GerberKawasaki #tesla giga shanghai began making in december 2019, so it sent $tsla high in 2020. t… https://t.co/49PGFJMUFy","[{'text': 'tesla', 'indices': [31, 37]}]",2021-03-20 23:59:15,0.0,0.0,
2,2.0,1373423920112664579,"RT @Schuldensuehner: Cathie Wood’s Ark Invest expects #Tesla to hit $3,000 by 2025, up from current price of $655. At that price, company c…","[{'text': 'Tesla', 'indices': [54, 60]}]",2021-03-20 23:59:14,61.0,0.0,
3,3.0,1373423874847735816,"Tesla Secures Order For World's First 8,000-Ton Casting Machine!!!!!!
😀 🚗 🛠️ ⚙️ 🏗️ 🚙 🏭 ⚡️ 💰
https://t.co/MZvDxtZF7X… https://t.co/7F9mIlREpY",[],2021-03-20 23:59:03,0.0,0.0,
4,4.0,1373423593460281347,"RT @Schuldensuehner: Cathie Wood’s Ark Invest expects #Tesla to hit $3,000 by 2025, up from current price of $655. At that price, company c…","[{'text': 'Tesla', 'indices': [54, 60]}]",2021-03-20 23:57:56,61.0,0.0,
5,5.0,1373423491366674435,"RT @DavidWalley1964: 4 weeks to fix a loose wire but thankfully they cleaned the car before asking me to collect it!!! This @Tesla,  is why…",[],2021-03-20 23:57:31,5.0,0.0,
6,6.0,1373422423354314752,If #TESLA holds the retest of channel we bottom up in a pattern and start a journey to 1300 area fib level. 550 reg… https://t.co/WgXvwceeX6,"[{'text': 'TESLA', 'indices': [3, 9]}]",2021-03-20 23:53:17,0.0,0.0,
7,7.0,1373422336649666561,"RT @EvaFoxU: Tesla's Dominance Shines in the European EV Market: A Closer Look at Sales Over Time

#Tesla #Europe 
https://t.co/BErQ89n4Dl","[{'text': 'Tesla', 'indices': [99, 105]}, {'text': 'Europe', 'indices': [106, 113]}]",2021-03-20 23:52:56,20.0,0.0,
8,8.0,1373422069027835904,"Elon Musk stressed that 3D Tunnels are an important tool in reducing urban congestion, which is common in big citie… https://t.co/pRPeWp9ppC",[],2021-03-20 23:51:52,0.0,8.0,
9,9.0,1373421875284557829,"Elon Musk liked a tweet from TesLatino 🚀 a.k.a. Rafael - Lover, not a hater. #Tesla $TSLA https://t.co/32rbjvQvZA","[{'text': 'Tesla', 'indices': [77, 83]}]",2021-03-20 23:51:06,0.0,7.0,
10,10.0,1373421778907901953,"What Things Should A Person Know To Be A VC? | What VCs need more of is the imagination of foresight, not more regu… https://t.co/IwaARM2OSF",[],2021-03-20 23:50:43,0.0,0.0,
11,11.0,1373421489802907648,Look at this new piece on @opensea! #nft #opensea #FalconAndWinterSoldier #SnyderCut #SnyderCutJusticeLeague… https://t.co/de1pdgrJS8,"[{'text': 'nft', 'indices': [36, 40]}, {'text': 'opensea', 'indices': [41, 49]}, {'text': 'FalconAndWinterSoldier', 'indices': [50, 73]}, {'text': 'SnyderCut', 'indices': [74, 84]}, {'text': 'SnyderCutJusticeLeague', 'indices': [85, 108]}]",2021-03-20 23:49:34,0.0,3.0,
12,12.0,1373420841543684096,"👉 Ergonomic Shopping Trolley
💰 Buy:https://t.co/Z6IgUmyewO
☎ Call: +358 50 5061049
✅ https://t.co/CQFJKlQUab… https://t.co/nPDguvHmf3",[],2021-03-20 23:47:00,0.0,0.0,
13,13.0,1373420757695434753,"#Tesla, #MicroStrategy, #Square &amp; #Meitu have bought 66% of all new BTC mined in the past six months. How can anyon… https://t.co/r9hmbJQfw0","[{'text': 'Tesla', 'indices': [0, 6]}, {'text': 'MicroStrategy', 'indices': [8, 22]}, {'text': 'Square', 'indices': [24, 31]}, {'text': 'Meitu', 'indices': [38, 44]}]",2021-03-20 23:46:40,0.0,1.0,
14,14.0,1373420619484762117,Just ordered mine!   #apestogetherstrong #GME #AMC #saveAMC #Tesla #ElonMusk #DOGE #XRP #NIO https://t.co/jRvlF8D0jW,"[{'text': 'apestogetherstrong', 'indices': [21, 40]}, {'text': 'GME', 'indices': [41, 45]}, {'text': 'AMC', 'indices': [46, 50]}, {'text': 'saveAMC', 'indices': [51, 59]}, {'text': 'Tesla', 'indices': [60, 66]}, {'text': 'ElonMusk', 'indices': [67, 76]}, {'text': 'DOGE', 'indices': [77, 82]}, {'text': 'XRP', 'indices': [83, 87]}, {'text': 'NIO', 'indices': [88, 92]}]",2021-03-20 23:46:07,0.0,0.0,
15,15.0,1373420089828114433,"22 x 28in Doge Spray painted from hand made stencil

(I Need more paint) Doge address for donations is: DBYVFKnwqBX… https://t.co/77eliIdO1d",[],2021-03-20 23:44:00,0.0,5.0,
16,16.0,1373420013877559297,"RT @EvaFoxU: Tesla's Dominance Shines in the European EV Market: A Closer Look at Sales Over Time

#Tesla #Europe 
https://t.co/BErQ89n4Dl","[{'text': 'Tesla', 'indices': [99, 105]}, {'text': 'Europe', 'indices': [106, 113]}]",2021-03-20 23:43:42,20.0,0.0,
17,17.0,1373419834139115527,"I have a question @elonmusk . If I make a cryptocurrency, would you invest in it!??? 
@elonmusk @SpaceX @Tesla… https://t.co/REZxAkFDU1",[],2021-03-20 23:43:00,0.0,0.0,
18,18.0,1373419666555699201,RT @TNR_Gold: #Tesla Energy #rEVolution And The Golden Age For #Copper: Kirill Klip #GEMRoyalty $TNR.v #TNRGold Copper Presentation. https:…,"[{'text': 'Tesla', 'indices': [14, 20]}, {'text': 'rEVolution', 'indices': [28, 39]}, {'text': 'Copper', 'indices': [63, 70]}, {'text': 'GEMRoyalty', 'indices': [84, 95]}, {'text': 'TNRGold', 'indices': [103, 111]}]",2021-03-20 23:42:20,5.0,0.0,
19,19.0,1373419647115145217,"RT @EvaFoxU: .@ElonMusk Talks AI, 3D Tunnels, Autonomous Vehicles &amp; More at China Development Forum 2021 🇨🇳

#Tesla 
https://t.co/dPfKi0ojsh","[{'text': 'Tesla', 'indices': [113, 119]}]",2021-03-20 23:42:15,26.0,0.0,
20,20.0,1373418602225758211,"RT @Manic_Marge: Hey @elonmusk, we spelled S 3 X Y at the @TeslaClubLA event today! 🇺🇸🙌 ♥️🤍💙

#Tesla #TeslaModelS #Model3 #ModelX #ModelY h…","[{'text': 'Tesla', 'indices': [94, 100]}, {'text': 'TeslaModelS', 'indices': [101, 113]}, {'text': 'Model3', 'indices': [114, 121]}, {'text': 'ModelX', 'indices': [122, 129]}, {'text': 'ModelY', 'indices': [130, 137]}]",2021-03-20 23:38:06,6.0,0.0,
21,21.0,1373418595166879746,RT @lioosta: #Tesla is the best electric ⚡️ vehicle! Thank you @elonmusk https://t.co/2tAyOFwTw4,"[{'text': 'Tesla', 'indices': [13, 19]}]",2021-03-20 23:38:04,1.0,0.0,
22,22.0,1373418572496609284,"RT @EvaFoxU: .@ElonMusk Talks AI, 3D Tunnels, Autonomous Vehicles &amp; More at China Development Forum 2021 🇨🇳

#Tesla 
https://t.co/dPfKi0ojsh","[{'text': 'Tesla', 'indices': [113, 119]}]",2021-03-20 23:37:59,26.0,0.0,
23,23.0,1373418500707004418,"#CathieWood's ⁦@ARKInvest⁩ expects #Tesla #stock to reach $3,000 by 2025. $TSLA $ARK https://t.co/FfNebnUqMX","[{'text': 'CathieWood', 'indices': [0, 11]}, {'text': 'Tesla', 'indices': [35, 41]}, {'text': 'stock', 'indices': [42, 48]}]",2021-03-20 23:37:42,0.0,1.0,
24,24.0,1373418398881824770,Elon #Musk denies #Tesla cars are used for spying in #China https://t.co/jXbZ3MoRkw,"[{'text': 'Musk', 'indices': [5, 10]}, {'text': 'Tesla', 'indices': [18, 24]}, {'text': 'China', 'indices': [53, 59]}]",2021-03-20 23:37:17,0.0,0.0,
25,25.0,1373418252399833088,"RT @stevenmarkryan: https://t.co/SsP4u0SPKo - ARK Invest's NEW Tesla Stock Price Target Is INSANE! 🚀

NEW 

$TSLA #Tesla @ARKInvest @Cathie…","[{'text': 'Tesla', 'indices': [114, 120]}]",2021-03-20 23:36:42,27.0,0.0,
26,26.0,1373418227846373379,RT @mirekbujna: New #Tesla Model S with a yoke steering wheel spotted in Santa Cruz by u/NoiceTwasACat99. Looks super cool! $TSLA https://t…,"[{'text': 'Tesla', 'indices': [20, 26]}]",2021-03-20 23:36:37,91.0,0.0,
27,27.0,1373418124020572160,"RT @EvaFoxU: .@ElonMusk Talks AI, 3D Tunnels, Autonomous Vehicles &amp; More at China Development Forum 2021 🇨🇳

#Tesla 
https://t.co/dPfKi0ojsh","[{'text': 'Tesla', 'indices': [113, 119]}]",2021-03-20 23:36:12,26.0,0.0,
28,28.0,1373417873092317185,"Cathie Wood’s Ark Has a New Price Target for Tesla: $3,000 #yahoo #teslapricetarget #investors #benzingacathiewood… https://t.co/I9lRF1TJfP","[{'text': 'yahoo', 'indices': [59, 65]}, {'text': 'teslapricetarget', 'indices': [66, 83]}, {'text': 'investors', 'indices': [84, 94]}, {'text': 'benzingacathiewood', 'indices': [95, 114]}]",2021-03-20 23:35:12,0.0,0.0,
